,time,temperature_2m (°C),relativehumidity_2m (%),apparent_temperature (°C),surface_pressure (hPa),precipitation (mm),cloudcover (%),windspeed_10m (km/h)
0,2016-01-01T00:00,-4.0,71,-10.4,1002.8,0.0,14,22.5
1,2016-01-01T01:00,-3.9,72,-10.5,1002.3,0.0,20,23.9
2,2016-01-01T02:00,-3.6,71,-10.3,1001.8,0.0,10,24.7
3,2016-01-01T03:00,-3.9,71,-10.6,1001.6,0.0,14,24.3
4,2016-01-01T04:00,-4.5,73,-11.2,1001.4,0.0,20,24.8
5,2016-01-01T05:00,-5.1,75,-11.8,1001.0,0.0,21,24.6
6,2016-01-01T06:00,-5.7,76,-12.2,1000.8,0.0,32,22.1
7,2016-01-01T07:00,-6.1,76,-12.4,1000.8,0.0,61,21.1
8,2016-01-01T08:00,-6.2,75,-13.1,1000.7,0.0,82,25.2
9,2016-01-01T09:00,-6.1,75,-13.1,1000.9,0.0,90,25.6
10,2016-01-01T10:00,-5.7,74,-12.6,1001.5,0.0,90,25.2
11,2016-01-01T11:00,-5.0,72,-11.9,1001.9,0.0,90,25.3
12,2016-01-01T12:00,-4.2,69,-11.0,1001.7,0.0,90,24.6
13,2016-01-01T13:00,-3.4,66,-10.0,1000.9,0.0,90,23.9
14,2016-01-01T14:00,-2.1,65,-8.7,1000.1,0.0,100,24.0
15,2016-01-01T15:00,-1.4,65,-8.1,999.5,0.0,100,25.2
16,2016-01-01T16:00,-0.8,65,-7.4,999.1,0.0,62,25.1
17,2016-01-01T17:00,-0.7,67,-6.7,999.2,0.0,51,21.1
18,2016-01-01T18:00,-0.7,69,-6.8,999.1,0.0,52,21.7
19,2016-01-01T19:00,-0.7,71,-6.8,998.9,0.0,52,22.7
20,2016-01-01T20:00,-0.5,72,-6.8,998.5,0.0,32,23.9
21,2016-01-01T21:00,-0.6,72,-6.8,998.2,0.0,1,23.4
22,2016-01-01T22:00,-0.9,73,-7.0,998.1,0.0,1,22.4
23,2016-01-01T23:00,-1.4,73,-7.4,998.1,0.0,1,21.4
24,2016-01-02T00:00,-2.0,74,-7.9,998.2,0.0,5,20.6
25,2016-01-02T01:00,-2.5,75,-8.4,998.1,0.0,1,20.2
26,2016-01-02T02:00,-2.2,75,-7.9,998.1,0.0,5,19.4
27,2016-01-02T03:00,-2.5,75,-8.2,998.4,0.0,11,18.8
28,2016-01-02T04:00,-3.0,77,-8.5,998.4,0.0,14,17.7
29,2016-01-02T05:00,-3.2,78,-8.6,998.3,0.0,25,16.7
30,2016-01-02T06:00,-3.6,80,-8.7,998.3,0.0,11,14.8
31,2016-01-02T07:00,-3.8,81,-8.9,998.3,0.0,8,14.8
32,2016-01-02T08:00,-4.0,81,-9.1,998.7,0.0,2,14.5
33,2016-01-02T09:00,-4.1,80,-9.3,998.8,0.0,2,14.5
34,2016-01-02T10:00,-3.7,78,-8.9,998.7,0.0,0,15.0
35,2016-01-02T11:00,-2.9,74,-8.3,998.8,0.0,0,16.1
36,2016-01-02T12:00,-1.9,71,-7.4,998.3,0.0,0,17.9
37,2016-01-02T13:00,-0.8,68,-6.6,997.2,0.0,0,19.9
38,2016-01-02T14:00,0.2,64,-5.8,996.1,0.0,0,21.4
39,2016-01-02T15:00,1.0,62,-5.1,995.0,0.0,0,22.5
40,2016-01-02T16:00,1.4,63,-4.9,994.4,0.0,0,23.8
41,2016-01-02T17:00,1.1,66,-4.7,994.1,0.0,0,20.6
42,2016-01-02T18:00,0.5,70,-5.4,993.7,0.0,0,22.2
43,2016-01-02T19:00,0.2,73,-6.1,993.2,0.0,0,24.3
44,2016-01-02T20:00,0.0,74,-6.5,992.9,0.0,0,26.5
45,2016-01-02T21:00,-0.2,74,-6.9,992.2,0.0,0,27.6
